
---------- Begin Simulation Statistics ----------
simSeconds                                   0.002247                       # Number of seconds simulated (Second)
simTicks                                   2246972000                       # Number of ticks simulated (Tick)
finalTick                                  2246972000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     17.84                       # Real time elapsed on the host (Second)
hostTickRate                                125937685                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     781280                       # Number of bytes of host memory used (Byte)
simInsts                                      2145157                       # Number of instructions simulated (Count)
simOps                                        3757408                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   120230                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     210593                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu1.numCycles                         2221956                       # Number of cpu cycles simulated (Cycle)
system.cpu1.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu1.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu1.instsAdded                        4756949                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu1.nonSpecInstsAdded                    1953                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu1.instsIssued                       4372321                       # Number of instructions issued (Count)
system.cpu1.squashedInstsIssued                  3019                       # Number of squashed instructions issued (Count)
system.cpu1.squashedInstsExamined             1038178                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu1.squashedOperandsExamined          1630534                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu1.squashedNonSpecRemoved                249                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu1.numIssuedDist::samples            2111412                       # Number of insts issued each cycle
system.cpu1.numIssuedDist::mean              2.070804                       # Number of insts issued each cycle
system.cpu1.numIssuedDist::stdev             2.343975                       # Number of insts issued each cycle
system.cpu1.decode.idleCycles                  330931                       # Number of cycles decode is idle (Cycle)
system.cpu1.decode.blockedCycles              1063833                       # Number of cycles decode is blocked (Cycle)
system.cpu1.decode.runCycles                   508281                       # Number of cycles decode is running (Cycle)
system.cpu1.decode.unblockCycles               191364                       # Number of cycles decode is unblocking (Cycle)
system.cpu1.decode.squashCycles                 17003                       # Number of cycles decode is squashing (Cycle)
system.cpu1.decode.branchResolved              248279                       # Number of times decode resolved a branch (Count)
system.cpu1.decode.branchMispred                 1503                       # Number of times decode detected a branch misprediction (Count)
system.cpu1.decode.decodedInsts               4950582                       # Number of instructions handled by decode (Count)
system.cpu1.decode.squashedInsts                 7406                       # Number of squashed instructions handled by decode (Count)
system.cpu1.fetch.icacheStallCycles            334652                       # Number of cycles fetch is stalled on an Icache miss (Cycle)
system.cpu1.fetch.insts                       2947168                       # Number of instructions fetch has processed (Count)
system.cpu1.fetch.branches                     509222                       # Number of branches that fetch encountered (Count)
system.cpu1.fetch.predictedBranches            281113                       # Number of branches that fetch has predicted taken (Count)
system.cpu1.fetch.cycles                      1753763                       # Number of cycles fetch has run and was not squashing or blocked (Cycle)
system.cpu1.fetch.squashCycles                  36964                       # Number of cycles fetch has spent squashing (Cycle)
system.cpu1.fetch.miscStallCycles                 558                       # Number of cycles fetch has spent waiting on interrupts, or bad addresses, or out of MSHRs (Cycle)
system.cpu1.fetch.pendingTrapStallCycles         3924                       # Number of stall cycles due to pending traps (Cycle)
system.cpu1.fetch.pendingQuiesceStallCycles           24                       # Number of stall cycles due to pending quiesce instructions (Cycle)
system.cpu1.fetch.icacheWaitRetryStallCycles            9                       # Number of stall cycles due to full MSHR (Cycle)
system.cpu1.fetch.cacheLines                   246023                       # Number of cache lines fetched (Count)
system.cpu1.fetch.icacheSquashes                 4821                       # Number of outstanding Icache misses that were squashed (Count)
system.cpu1.fetch.nisnDist::samples           2111412                       # Number of instructions fetched each cycle (Total)
system.cpu1.fetch.nisnDist::mean             2.476623                       # Number of instructions fetched each cycle (Total)
system.cpu1.fetch.nisnDist::stdev            3.341296                       # Number of instructions fetched each cycle (Total)
system.cpu1.fetch.nisnDist::underflows              0      0.00%      0.00% # Number of instructions fetched each cycle (Total)
system.cpu1.fetch.nisnDist::0                 1253045     59.35%     59.35% # Number of instructions fetched each cycle (Total)
system.cpu1.fetch.nisnDist::1                   31510      1.49%     60.84% # Number of instructions fetched each cycle (Total)
system.cpu1.fetch.nisnDist::2                   62369      2.95%     63.79% # Number of instructions fetched each cycle (Total)
system.cpu1.fetch.nisnDist::3                   61419      2.91%     66.70% # Number of instructions fetched each cycle (Total)
system.cpu1.fetch.nisnDist::4                  112622      5.33%     72.04% # Number of instructions fetched each cycle (Total)
system.cpu1.fetch.nisnDist::5                   46410      2.20%     74.23% # Number of instructions fetched each cycle (Total)
system.cpu1.fetch.nisnDist::6                   50604      2.40%     76.63% # Number of instructions fetched each cycle (Total)
system.cpu1.fetch.nisnDist::7                   44959      2.13%     78.76% # Number of instructions fetched each cycle (Total)
system.cpu1.fetch.nisnDist::8                  448474     21.24%    100.00% # Number of instructions fetched each cycle (Total)
system.cpu1.fetch.nisnDist::overflows               0      0.00%    100.00% # Number of instructions fetched each cycle (Total)
system.cpu1.fetch.nisnDist::min_value               0                       # Number of instructions fetched each cycle (Total)
system.cpu1.fetch.nisnDist::max_value               8                       # Number of instructions fetched each cycle (Total)
system.cpu1.fetch.nisnDist::total             2111412                       # Number of instructions fetched each cycle (Total)
system.cpu1.fetch.branchRate                 0.229177                       # Number of branch fetches per cycle (Ratio)
system.cpu1.fetch.rate                       1.326385                       # Number of inst fetches per cycle ((Count/Cycle))
system.cpu1.icache.demandHits::cpu1.inst       241749                       # number of demand (read+write) hits (Count)
system.cpu1.icache.demandHits::total           241749                       # number of demand (read+write) hits (Count)
system.cpu1.icache.overallHits::cpu1.inst       241749                       # number of overall hits (Count)
system.cpu1.icache.overallHits::total          241749                       # number of overall hits (Count)
system.cpu1.icache.demandMisses::cpu1.inst         4274                       # number of demand (read+write) misses (Count)
system.cpu1.icache.demandMisses::total           4274                       # number of demand (read+write) misses (Count)
system.cpu1.icache.overallMisses::cpu1.inst         4274                       # number of overall misses (Count)
system.cpu1.icache.overallMisses::total          4274                       # number of overall misses (Count)
system.cpu1.icache.demandMissLatency::cpu1.inst    329638999                       # number of demand (read+write) miss ticks (Tick)
system.cpu1.icache.demandMissLatency::total    329638999                       # number of demand (read+write) miss ticks (Tick)
system.cpu1.icache.overallMissLatency::cpu1.inst    329638999                       # number of overall miss ticks (Tick)
system.cpu1.icache.overallMissLatency::total    329638999                       # number of overall miss ticks (Tick)
system.cpu1.icache.demandAccesses::cpu1.inst       246023                       # number of demand (read+write) accesses (Count)
system.cpu1.icache.demandAccesses::total       246023                       # number of demand (read+write) accesses (Count)
system.cpu1.icache.overallAccesses::cpu1.inst       246023                       # number of overall (read+write) accesses (Count)
system.cpu1.icache.overallAccesses::total       246023                       # number of overall (read+write) accesses (Count)
system.cpu1.icache.demandMissRate::cpu1.inst     0.017372                       # miss rate for demand accesses (Ratio)
system.cpu1.icache.demandMissRate::total     0.017372                       # miss rate for demand accesses (Ratio)
system.cpu1.icache.overallMissRate::cpu1.inst     0.017372                       # miss rate for overall accesses (Ratio)
system.cpu1.icache.overallMissRate::total     0.017372                       # miss rate for overall accesses (Ratio)
system.cpu1.icache.demandAvgMissLatency::cpu1.inst 77126.579083                       # average overall miss latency ((Cycle/Count))
system.cpu1.icache.demandAvgMissLatency::total 77126.579083                       # average overall miss latency ((Cycle/Count))
system.cpu1.icache.overallAvgMissLatency::cpu1.inst 77126.579083                       # average overall miss latency ((Cycle/Count))
system.cpu1.icache.overallAvgMissLatency::total 77126.579083                       # average overall miss latency ((Cycle/Count))
system.cpu1.icache.blockedCycles::no_mshrs          376                       # number of cycles access was blocked (Cycle)
system.cpu1.icache.blockedCycles::no_targets            0                       # number of cycles access was blocked (Cycle)
system.cpu1.icache.blockedCauses::no_mshrs            7                       # number of times access was blocked (Count)
system.cpu1.icache.blockedCauses::no_targets            0                       # number of times access was blocked (Count)
system.cpu1.icache.avgBlocked::no_mshrs     53.714286                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu1.icache.avgBlocked::no_targets          nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu1.icache.demandMshrHits::cpu1.inst          778                       # number of demand (read+write) MSHR hits (Count)
system.cpu1.icache.demandMshrHits::total          778                       # number of demand (read+write) MSHR hits (Count)
system.cpu1.icache.overallMshrHits::cpu1.inst          778                       # number of overall MSHR hits (Count)
system.cpu1.icache.overallMshrHits::total          778                       # number of overall MSHR hits (Count)
system.cpu1.icache.demandMshrMisses::cpu1.inst         3496                       # number of demand (read+write) MSHR misses (Count)
system.cpu1.icache.demandMshrMisses::total         3496                       # number of demand (read+write) MSHR misses (Count)
system.cpu1.icache.overallMshrMisses::cpu1.inst         3496                       # number of overall MSHR misses (Count)
system.cpu1.icache.overallMshrMisses::total         3496                       # number of overall MSHR misses (Count)
system.cpu1.icache.demandMshrMissLatency::cpu1.inst    267112000                       # number of demand (read+write) MSHR miss ticks (Tick)
system.cpu1.icache.demandMshrMissLatency::total    267112000                       # number of demand (read+write) MSHR miss ticks (Tick)
system.cpu1.icache.overallMshrMissLatency::cpu1.inst    267112000                       # number of overall MSHR miss ticks (Tick)
system.cpu1.icache.overallMshrMissLatency::total    267112000                       # number of overall MSHR miss ticks (Tick)
system.cpu1.icache.demandMshrMissRate::cpu1.inst     0.014210                       # mshr miss ratio for demand accesses (Ratio)
system.cpu1.icache.demandMshrMissRate::total     0.014210                       # mshr miss ratio for demand accesses (Ratio)
system.cpu1.icache.overallMshrMissRate::cpu1.inst     0.014210                       # mshr miss ratio for overall accesses (Ratio)
system.cpu1.icache.overallMshrMissRate::total     0.014210                       # mshr miss ratio for overall accesses (Ratio)
system.cpu1.icache.demandAvgMshrMissLatency::cpu1.inst 76405.034325                       # average overall mshr miss latency ((Cycle/Count))
system.cpu1.icache.demandAvgMshrMissLatency::total 76405.034325                       # average overall mshr miss latency ((Cycle/Count))
system.cpu1.icache.overallAvgMshrMissLatency::cpu1.inst 76405.034325                       # average overall mshr miss latency ((Cycle/Count))
system.cpu1.icache.overallAvgMshrMissLatency::total 76405.034325                       # average overall mshr miss latency ((Cycle/Count))
system.cpu1.icache.replacements                  3237                       # number of replacements (Count)
system.cpu1.icache.ReadReq.hits::cpu1.inst       241749                       # number of ReadReq hits (Count)
system.cpu1.icache.ReadReq.hits::total         241749                       # number of ReadReq hits (Count)
system.cpu1.icache.ReadReq.misses::cpu1.inst         4274                       # number of ReadReq misses (Count)
system.cpu1.icache.ReadReq.misses::total         4274                       # number of ReadReq misses (Count)
system.cpu1.icache.ReadReq.missLatency::cpu1.inst    329638999                       # number of ReadReq miss ticks (Tick)
system.cpu1.icache.ReadReq.missLatency::total    329638999                       # number of ReadReq miss ticks (Tick)
system.cpu1.icache.ReadReq.accesses::cpu1.inst       246023                       # number of ReadReq accesses(hits+misses) (Count)
system.cpu1.icache.ReadReq.accesses::total       246023                       # number of ReadReq accesses(hits+misses) (Count)
system.cpu1.icache.ReadReq.missRate::cpu1.inst     0.017372                       # miss rate for ReadReq accesses (Ratio)
system.cpu1.icache.ReadReq.missRate::total     0.017372                       # miss rate for ReadReq accesses (Ratio)
system.cpu1.icache.ReadReq.avgMissLatency::cpu1.inst 77126.579083                       # average ReadReq miss latency ((Tick/Count))
system.cpu1.icache.ReadReq.avgMissLatency::total 77126.579083                       # average ReadReq miss latency ((Tick/Count))
system.cpu1.icache.ReadReq.mshrHits::cpu1.inst          778                       # number of ReadReq MSHR hits (Count)
system.cpu1.icache.ReadReq.mshrHits::total          778                       # number of ReadReq MSHR hits (Count)
system.cpu1.icache.ReadReq.mshrMisses::cpu1.inst         3496                       # number of ReadReq MSHR misses (Count)
system.cpu1.icache.ReadReq.mshrMisses::total         3496                       # number of ReadReq MSHR misses (Count)
system.cpu1.icache.ReadReq.mshrMissLatency::cpu1.inst    267112000                       # number of ReadReq MSHR miss ticks (Tick)
system.cpu1.icache.ReadReq.mshrMissLatency::total    267112000                       # number of ReadReq MSHR miss ticks (Tick)
system.cpu1.icache.ReadReq.mshrMissRate::cpu1.inst     0.014210                       # mshr miss rate for ReadReq accesses (Ratio)
system.cpu1.icache.ReadReq.mshrMissRate::total     0.014210                       # mshr miss rate for ReadReq accesses (Ratio)
system.cpu1.icache.ReadReq.avgMshrMissLatency::cpu1.inst 76405.034325                       # average ReadReq mshr miss latency ((Tick/Count))
system.cpu1.icache.ReadReq.avgMshrMissLatency::total 76405.034325                       # average ReadReq mshr miss latency ((Tick/Count))
system.cpu1.icache.power_state.pwrStateResidencyTicks::UNDEFINED   2246972000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu1.icache.tags.tagsInUse          253.589645                       # Average ticks per tags in use ((Tick/Count))
system.cpu1.icache.tags.totalRefs              245244                       # Total number of references to valid blocks. (Count)
system.cpu1.icache.tags.sampledRefs              3495                       # Sample count of references to valid blocks. (Count)
system.cpu1.icache.tags.avgRefs             70.169957                       # Average number of references to valid blocks. ((Count/Count))
system.cpu1.icache.tags.warmupTick             107000                       # The tick when the warmup percentage was hit. (Tick)
system.cpu1.icache.tags.occupancies::cpu1.inst   253.589645                       # Average occupied blocks per tick, per requestor ((Count/Tick))
system.cpu1.icache.tags.avgOccs::cpu1.inst     0.990585                       # Average percentage of cache occupancy ((Ratio/Tick))
system.cpu1.icache.tags.avgOccs::total       0.990585                       # Average percentage of cache occupancy ((Ratio/Tick))
system.cpu1.icache.tags.occupanciesTaskId::1024          256                       # Occupied blocks per task id (Count)
system.cpu1.icache.tags.ageTaskId_1024::0           81                       # Occupied blocks per task id, per block age (Count)
system.cpu1.icache.tags.ageTaskId_1024::1          156                       # Occupied blocks per task id, per block age (Count)
system.cpu1.icache.tags.ageTaskId_1024::2           18                       # Occupied blocks per task id, per block age (Count)
system.cpu1.icache.tags.ageTaskId_1024::3            1                       # Occupied blocks per task id, per block age (Count)
system.cpu1.icache.tags.ratioOccsTaskId::1024            1                       # Ratio of occupied blocks and all blocks, per task id (Ratio)
system.cpu1.icache.tags.tagAccesses            495541                       # Number of tag accesses (Count)
system.cpu1.icache.tags.dataAccesses           495541                       # Number of data accesses (Count)
system.cpu1.icache.tags.power_state.pwrStateResidencyTicks::UNDEFINED   2246972000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu1.interrupts.clk_domain.clock         16000                       # Clock period in ticks (Tick)
system.cpu1.lsq0.forwLoads                      67633                       # Number of loads that had data forwarded from stores (Count)
system.cpu1.lsq0.squashedLoads                 135993                       # Number of loads squashed (Count)
system.cpu1.lsq0.ignoredResponses                 150                       # Number of memory responses ignored because the instruction is squashed (Count)
system.cpu1.lsq0.memOrderViolation                195                       # Number of memory ordering violations (Count)
system.cpu1.lsq0.squashedStores                 33259                       # Number of stores squashed (Count)
system.cpu1.lsq0.rescheduledLoads                   7                       # Number of loads that were rescheduled (Count)
system.cpu1.lsq0.blockedByCache                   512                       # Number of times an access to memory failed due to the cache being blocked (Count)
system.cpu1.lsq0.loadToUse::samples            514781                       # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu1.lsq0.loadToUse::mean             9.563086                       # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu1.lsq0.loadToUse::stdev           25.201062                       # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu1.lsq0.loadToUse::0-9                474552     92.19%     92.19% # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu1.lsq0.loadToUse::10-19                 845      0.16%     92.35% # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu1.lsq0.loadToUse::20-29                6482      1.26%     93.61% # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu1.lsq0.loadToUse::30-39                 658      0.13%     93.74% # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu1.lsq0.loadToUse::40-49                 357      0.07%     93.81% # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu1.lsq0.loadToUse::50-59                 790      0.15%     93.96% # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu1.lsq0.loadToUse::60-69                 985      0.19%     94.15% # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu1.lsq0.loadToUse::70-79                2463      0.48%     94.63% # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu1.lsq0.loadToUse::80-89                3948      0.77%     95.40% # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu1.lsq0.loadToUse::90-99               13171      2.56%     97.95% # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu1.lsq0.loadToUse::100-109              2443      0.47%     98.43% # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu1.lsq0.loadToUse::110-119              4166      0.81%     99.24% # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu1.lsq0.loadToUse::120-129              2814      0.55%     99.78% # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu1.lsq0.loadToUse::130-139               136      0.03%     99.81% # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu1.lsq0.loadToUse::140-149                44      0.01%     99.82% # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu1.lsq0.loadToUse::150-159                76      0.01%     99.83% # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu1.lsq0.loadToUse::160-169                67      0.01%     99.85% # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu1.lsq0.loadToUse::170-179                51      0.01%     99.86% # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu1.lsq0.loadToUse::180-189                51      0.01%     99.87% # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu1.lsq0.loadToUse::190-199                22      0.00%     99.87% # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu1.lsq0.loadToUse::200-209                29      0.01%     99.88% # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu1.lsq0.loadToUse::210-219                25      0.00%     99.88% # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu1.lsq0.loadToUse::220-229                15      0.00%     99.89% # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu1.lsq0.loadToUse::230-239                32      0.01%     99.89% # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu1.lsq0.loadToUse::240-249                14      0.00%     99.89% # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu1.lsq0.loadToUse::250-259                22      0.00%     99.90% # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu1.lsq0.loadToUse::260-269                17      0.00%     99.90% # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu1.lsq0.loadToUse::270-279                27      0.01%     99.91% # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu1.lsq0.loadToUse::280-289                49      0.01%     99.92% # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu1.lsq0.loadToUse::290-299                48      0.01%     99.93% # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu1.lsq0.loadToUse::overflows             382      0.07%    100.00% # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu1.lsq0.loadToUse::min_value               2                       # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu1.lsq0.loadToUse::max_value             419                       # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu1.lsq0.loadToUse::total              514781                       # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu1.mmu.dtb.rdAccesses                 614557                       # TLB accesses on read requests (Count)
system.cpu1.mmu.dtb.wrAccesses                 199871                       # TLB accesses on write requests (Count)
system.cpu1.mmu.dtb.rdMisses                     2593                       # TLB misses on read requests (Count)
system.cpu1.mmu.dtb.wrMisses                      339                       # TLB misses on write requests (Count)
system.cpu1.mmu.dtb.walker.power_state.pwrStateResidencyTicks::UNDEFINED   2246972000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu1.mmu.itb.rdAccesses                      0                       # TLB accesses on read requests (Count)
system.cpu1.mmu.itb.wrAccesses                 246622                       # TLB accesses on write requests (Count)
system.cpu1.mmu.itb.rdMisses                        0                       # TLB misses on read requests (Count)
system.cpu1.mmu.itb.wrMisses                     1002                       # TLB misses on write requests (Count)
system.cpu1.mmu.itb.walker.power_state.pwrStateResidencyTicks::UNDEFINED   2246972000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu1.power_state.numTransitions              2                       # Number of power state transitions (Count)
system.cpu1.power_state.ticksClkGated::samples            1                       # Distribution of time spent in the clock gated state
system.cpu1.power_state.ticksClkGated::mean     25018000                       # Distribution of time spent in the clock gated state
system.cpu1.power_state.ticksClkGated::1000-5e+10            1    100.00%    100.00% # Distribution of time spent in the clock gated state
system.cpu1.power_state.ticksClkGated::min_value     25018000                       # Distribution of time spent in the clock gated state
system.cpu1.power_state.ticksClkGated::max_value     25018000                       # Distribution of time spent in the clock gated state
system.cpu1.power_state.ticksClkGated::total            1                       # Distribution of time spent in the clock gated state
system.cpu1.power_state.pwrStateResidencyTicks::ON   2221954000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu1.power_state.pwrStateResidencyTicks::CLK_GATED     25018000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu1.rename.squashCycles                 17003                       # Number of cycles rename is squashing (Cycle)
system.cpu1.rename.idleCycles                  401013                       # Number of cycles rename is idle (Cycle)
system.cpu1.rename.blockCycles                 705577                       # Number of cycles rename is blocking (Cycle)
system.cpu1.rename.serializeStallCycles         14585                       # count of cycles rename stalled for serializing inst (Cycle)
system.cpu1.rename.runCycles                   619446                       # Number of cycles rename is running (Cycle)
system.cpu1.rename.unblockCycles               353788                       # Number of cycles rename is unblocking (Cycle)
system.cpu1.rename.renamedInsts               4871678                       # Number of instructions processed by rename (Count)
system.cpu1.rename.ROBFullEvents                10116                       # Number of times rename has blocked due to ROB full (Count)
system.cpu1.rename.IQFullEvents                220956                       # Number of times rename has blocked due to IQ full (Count)
system.cpu1.rename.LQFullEvents                 16194                       # Number of times rename has blocked due to LQ full (Count)
system.cpu1.rename.SQFullEvents                 54133                       # Number of times rename has blocked due to SQ full (Count)
system.cpu1.rename.fullRegistersEvents            265                       # Number of times there has been no free registers (Count)
system.cpu1.rename.renamedOperands            6599860                       # Number of destination operands rename has renamed (Count)
system.cpu1.rename.lookups                   12961591                       # Number of register rename lookups that rename has made (Count)
system.cpu1.rename.intLookups                 7890404                       # Number of integer rename lookups (Count)
system.cpu1.rename.fpLookups                   212618                       # Number of floating rename lookups (Count)
system.cpu1.rename.committedMaps              5059501                       # Number of HB maps that are committed (Count)
system.cpu1.rename.undoneMaps                 1540353                       # Number of HB maps that are undone due to squashing (Count)
system.cpu1.rename.serializing                    952                       # count of serializing insts renamed (Count)
system.cpu1.rename.tempSerializing                940                       # count of temporary serializing insts renamed (Count)
system.cpu1.rename.skidInsts                   827439                       # count of insts added to the skid buffer (Count)
system.cpu1.rob.reads                         6504257                       # The number of ROB reads (Count)
system.cpu1.rob.writes                        9654624                       # The number of ROB writes (Count)
system.cpu1.thread_0.numInsts                 2126576                       # Number of Instructions committed (Count)
system.cpu1.thread_0.numOps                   3720718                       # Number of Ops committed (Count)
system.cpu1.thread_0.numMemRefs                     0                       # Number of Memory References (Count)
system.cpu1.workload.numSyscalls                   89                       # Number of system calls (Count)
system.cpu2.numCycles                           67845                       # Number of cpu cycles simulated (Cycle)
system.cpu2.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu2.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu2.instsAdded                          63006                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu2.nonSpecInstsAdded                     205                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu2.instsIssued                         55196                       # Number of instructions issued (Count)
system.cpu2.squashedInstsIssued                    90                       # Number of squashed instructions issued (Count)
system.cpu2.squashedInstsExamined               26521                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu2.squashedOperandsExamined            34743                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu2.squashedNonSpecRemoved                 63                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu2.numIssuedDist::samples              47609                       # Number of insts issued each cycle
system.cpu2.numIssuedDist::mean              1.159361                       # Number of insts issued each cycle
system.cpu2.numIssuedDist::stdev             2.035467                       # Number of insts issued each cycle
system.cpu2.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle
system.cpu2.numIssuedDist::0                    32027     67.27%     67.27% # Number of insts issued each cycle
system.cpu2.numIssuedDist::1                     3296      6.92%     74.19% # Number of insts issued each cycle
system.cpu2.numIssuedDist::2                     2737      5.75%     79.94% # Number of insts issued each cycle
system.cpu2.numIssuedDist::3                     2109      4.43%     84.37% # Number of insts issued each cycle
system.cpu2.numIssuedDist::4                     2380      5.00%     89.37% # Number of insts issued each cycle
system.cpu2.numIssuedDist::5                     1857      3.90%     93.27% # Number of insts issued each cycle
system.cpu2.numIssuedDist::6                     1733      3.64%     96.91% # Number of insts issued each cycle
system.cpu2.numIssuedDist::7                      864      1.81%     98.73% # Number of insts issued each cycle
system.cpu2.numIssuedDist::8                      606      1.27%    100.00% # Number of insts issued each cycle
system.cpu2.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle
system.cpu2.numIssuedDist::min_value                0                       # Number of insts issued each cycle
system.cpu2.numIssuedDist::max_value                8                       # Number of insts issued each cycle
system.cpu2.numIssuedDist::total                47609                       # Number of insts issued each cycle
system.cpu2.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu2.statFuBusy::IntAlu                    495     62.19%     62.19% # attempts to use FU when none available (Count)
system.cpu2.statFuBusy::IntMult                     0      0.00%     62.19% # attempts to use FU when none available (Count)
system.cpu2.statFuBusy::IntDiv                      0      0.00%     62.19% # attempts to use FU when none available (Count)
system.cpu2.statFuBusy::FloatAdd                    0      0.00%     62.19% # attempts to use FU when none available (Count)
system.cpu2.statFuBusy::FloatCmp                    0      0.00%     62.19% # attempts to use FU when none available (Count)
system.cpu2.statFuBusy::FloatCvt                    1      0.13%     62.31% # attempts to use FU when none available (Count)
system.cpu2.statFuBusy::FloatMult                   0      0.00%     62.31% # attempts to use FU when none available (Count)
system.cpu2.statFuBusy::FloatMultAcc                0      0.00%     62.31% # attempts to use FU when none available (Count)
system.cpu2.statFuBusy::FloatDiv                    0      0.00%     62.31% # attempts to use FU when none available (Count)
system.cpu2.statFuBusy::FloatMisc                   0      0.00%     62.31% # attempts to use FU when none available (Count)
system.cpu2.statFuBusy::FloatSqrt                   0      0.00%     62.31% # attempts to use FU when none available (Count)
system.cpu2.statFuBusy::SimdAdd                     1      0.13%     62.44% # attempts to use FU when none available (Count)
system.cpu2.statFuBusy::SimdAddAcc                  0      0.00%     62.44% # attempts to use FU when none available (Count)
system.cpu2.statFuBusy::SimdAlu                     2      0.25%     62.69% # attempts to use FU when none available (Count)
system.cpu2.statFuBusy::SimdCmp                     0      0.00%     62.69% # attempts to use FU when none available (Count)
system.cpu2.statFuBusy::SimdCvt                     7      0.88%     63.57% # attempts to use FU when none available (Count)
system.cpu2.statFuBusy::SimdMisc                    0      0.00%     63.57% # attempts to use FU when none available (Count)
system.cpu2.statFuBusy::SimdMult                    0      0.00%     63.57% # attempts to use FU when none available (Count)
system.cpu2.statFuBusy::SimdMultAcc                 0      0.00%     63.57% # attempts to use FU when none available (Count)
system.cpu2.statFuBusy::SimdShift                   1      0.13%     63.69% # attempts to use FU when none available (Count)
system.cpu2.statFuBusy::SimdShiftAcc                0      0.00%     63.69% # attempts to use FU when none available (Count)
system.cpu2.statFuBusy::SimdDiv                     0      0.00%     63.69% # attempts to use FU when none available (Count)
system.cpu2.statFuBusy::SimdSqrt                    0      0.00%     63.69% # attempts to use FU when none available (Count)
